Text,Class,Sign,ASD 

 ""My toddler faces difficulties in diverting attention when needed. It becomes challenging for them to shift focus from a preferred activity to a required task, impacting their learning or participation in activities."",""Attention Attention+"",""-"",1

 ""They tend to fixate on specific details or interests, making it hard to engage in broader or more varied activities."",""Attention Attention+"",""-"",1

 ""Multi-tasking or managing multiple instructions becomes overwhelming for my toddler, affecting their productivity in certain situations."",""Attention Attention+"",""-"",1

 ""My toddler gets easily overwhelmed by distractions, which can disrupt their concentration or focus during tasks."",""Attention Attention+"",""-"",1

 ""My toddler gets easily distracted, making it challenging for them to concentrate in environments with various stimuli or noise."",""Attention Attention+"",""-"",1

 ""They find it hard to switch attention from one task to another, impacting their ability to adapt to changing situations or instructions."",""Attention Attention+"",""-"",1

 ""Too much information or sensory input can overwhelm my toddler, causing them to shut down or become hyperfocused on certain details, hindering their overall understanding."",""Attention Attention+"",""-"",1

 ""Maintaining focus for extended periods is tough for them, affecting their learning and ability to engage in activities that require sustained attention."",""Attention Attention+"",""-"",1

 ""My toddler struggles with distractions and finds it challenging to concentrate when there's too much sensory input or background noise."",""Attention Attention+"",""-"",1

 ""They have trouble shifting attention from one task or subject to another, leading to frustration and difficulty adapting to new situations."",""Attention Attention+"",""-"",1

 ""Too much information at once can overwhelm them, causing shutdowns or avoidance of tasks that require sustained attention."",""Attention Attention+"",""-"",1

 ""Their attention span for certain activities or tasks is limited, impacting their ability to complete tasks or participate in lengthy activities."",""Attention Attention+"",""-"",1

 ""I notice my toddler struggles to stay focused, especially in noisy or crowded environments. It's challenging for them to concentrate when there's too much going on."",""Attention Attention+"",""-"",1

 ""They find it hard to switch their attention from one task to another, leading to frustration and making it tough for them to adapt to changes."",""Attention Attention+"",""-"",1

 ""An overload of information can overwhelm my toddler, leading to shutdowns or avoidance of tasks requiring sustained attention."",""Attention Attention+"",""-"",1

 ""I'm concerned about how easily our toddler gets distracted. In school, they struggle to stay focused, especially when there's a lot of noise or activity around. It's affecting their ability to keep up with the class."",""Attention Attention+"",""-"",1

 ""I'm worried about how easily our toddler loses focus. They struggle to pay attention, especially in noisy environments. It affects their learning at school, and they often miss important details."",""Attention Attention+"",""-"",1


 ""When engaged in a subject of interest, my toddler shows remarkable focus, often demonstrating incredible attention to detail and in-depth understanding."",""Attention Attention+"",""+"",0

 ""Their attention to specific interests helps them build deep expertise in those areas, possibly leading to unique talents or future career paths."",""Attention Attention+"",""+"",0

 ""Structured routines and predictable schedules aid in maintaining attention and focus, making it easier for them to stay on task."",""Attention Attention+"",""+"",0

 ""By understanding their focus patterns, we can nurture their unique abilities, allowing them to excel in their areas of interest."",""Attention Attention+"",""+"",0

 ""When engaged in something they're passionate about, their focus and concentration are remarkable, allowing for a deep and thorough understanding."",""Attention Attention+"",""+"",0

 ""Their attention to detail is exceptional and often leads to noticing things that others might overlook, demonstrating a unique perspective."",""Attention Attention+"",""+"",0

 ""Structured environments and routines help them concentrate better, creating an optimal setting for learning and productivity."",""Attention Attention+"",""+"",0

 ""Their intense focus on specific interests can be nurtured to develop expertise, potentially leading to exceptional skills or careers."",""Attention Attention+"",""+"",0

 ""When engaged in something they love, their focus is intense and unwavering, allowing them to excel in areas of passion."",""Attention Attention+"",""+"",0

 ""They notice details that others might miss, showcasing a keen eye for specifics and demonstrating a unique perspective."",""Attention Attention+"",""+"",0

 ""A structured and organized environment helps them stay focused and perform better in tasks or learning activities."",""Attention Attention+"",""+"",0

 ""Their intense focus can lead to in-depth knowledge and expertise in specific subjects, fostering unique skills or talents."",""Attention Attention+"",""+"",0


 ""I'm concerned about how my toddler reacts to change. Sudden transitions or unexpected alterations in routines can be extremely distressing for them."",""Change Reaction-"",""-"",1

 ""Change can disrupt our daily routines and cause meltdowns or increased anxiety for my toddler, making it challenging to navigate daily activities."",""Change Reaction-"",""-"",1

 ""Their reaction to change might affect their ability to adapt in social situations, making it harder for them to participate in group activities or new environments."",""Change Reaction-"",""-"",1

 ""I worry about not knowing how my toddler might react to change, as it could sometimes result in difficult or challenging behaviors."",""Change Reaction-"",""-"",1

 ""I'm concerned about how my toddler reacts to sudden changes. It often leads to heightened anxiety and distress, making it tough for them to handle unforeseen situations."",""Change Reaction-"",""-"",1

 ""Changes can disrupt our established routines, causing meltdowns or increased stress levels for my toddler, making it challenging to manage day-to-day activities."",""Change Reaction-"",""-"",1

 ""Their reaction to change might impact their social interactions, making it harder to engage in new activities or environments comfortably."",""Change Reaction-"",""-"",1

 ""It's tough not knowing how my toddler will respond to change, sometimes resulting in difficult or challenging behaviors."",""Change Reaction-"",""-"",1

 ""I worry about my toddler's reaction to sudden changes. It often leads to heightened stress and anxiety, making it hard for them to handle unforeseen situations."",""Change Reaction-"",""-"",1

 ""Changes can disrupt our established routines, leading to meltdowns or increased stress levels for my toddler, making it difficult to manage day-to-day activities."",""Change Reaction-"",""-"",1

 ""Their reaction to change might impact their social interactions, making it harder to engage comfortably in new activities or environments."",""Change Reaction-"",""-"",1

 ""It's tough not knowing how my toddler will react to change, sometimes resulting in difficult or challenging behaviors."",""Change Reaction-"",""-"",1

 ""I'm concerned about my toddler's response to sudden changes. It often leads to heightened anxiety and stress, making it challenging for them to handle unpredictable situations."",""Change Reaction-"",""-"",1

 ""Changes can disrupt our established routines, causing meltdowns or increased stress levels for my toddler, making it difficult to manage day-to-day activities."",""Change Reaction-"",""-"",1

 ""Their reaction to change might impact their social interactions, making it harder to comfortably engage in new activities or environments."",""Change Reaction-"",""-"",1

 ""It's tough not knowing how my toddler will react to change, sometimes resulting in challenging or difficult behaviors."",""Change Reaction-"",""-"",1

 ""I'm concerned about my toddler's struggle with sudden changes. It often leads to heightened anxiety, making it challenging for them to cope with unexpected situations."",""Change Reaction-"",""-"",1

 ""Changes disrupt our routines, causing distress or meltdowns, making it hard for my toddler to manage daily activities."",""Change Reaction-"",""-"",1

 ""Their reaction to change might affect their social interactions, making it harder for them to comfortably engage in new situations."",""Change Reaction-"",""-"",1

 ""It's challenging not knowing how my toddler will react to change, sometimes resulting in difficult or challenging behaviors."",""Change Reaction-"",""-"",1

 ""I'm worried about how sudden changes affect my toddler. It often leads to increased stress and anxiety, making it hard for them to adapt."",""Change Reaction-"",""-"",1

 ""Changes disrupt our established routines, causing meltdowns or heightened stress levels, making it tough to manage day-to-day activities."",""Change Reaction-"",""-"",1

 ""Their reaction to change might impact their social interactions, hindering their ability to comfortably engage in new environments or situations."",""Change Reaction-"",""-"",1

